"rules","support","confidence","lift"
"{Key of Light,Key of Valor} => {Key of Knowledge}",0.00215570035765029,0.946236559139785,321.893906810036
"{Key of Knowledge,Key of Light} => {Key of Valor}",0.00215570035765029,0.888888888888889,299.886134067952
"{Key of Knowledge,Key of Valor} => {Key of Light}",0.00215570035765029,0.926315789473684,284.316264345073
"{Soul Harvest: The World Takes Sides,Tribulation Force: The Continuing Drama of Those Left Behind} => {Nicolae: The Rise of Antichrist}",0.00200872078781049,0.921348314606742,264.8681753442
"{Nicolae: The Rise of Antichrist,Soul Harvest: The World Takes Sides} => {Tribulation Force: The Continuing Drama of Those Left Behind}",0.00200872078781049,0.872340425531915,189.418515165233
"{Left Behind: A Novel of the Earth's Last Days,Nicolae: The Rise of Antichrist} => {Tribulation Force: The Continuing Drama of Those Left Behind}",0.00215570035765029,0.871287128712871,189.189804086792
"{Four to Score,Seven Up,Three To Get Deadly : A Stephanie Plum Novel,Two for the Dough} => {High Five}",0.00205771397775709,0.96551724137931,180.799746915533
"{Four to Score,Seven Up,Three To Get Deadly : A Stephanie Plum Novel} => {High Five}",0.00225368673754348,0.948453608247423,177.604464201267
"{Four to Score,Hot Six : A Stephanie Plum Novel,Three To Get Deadly : A Stephanie Plum Novel} => {High Five}",0.00215570035765029,0.946236559139785,177.189306500937
"{Seven Up,Three To Get Deadly : A Stephanie Plum Novel,Two for the Dough} => {High Five}",0.00213120376267699,0.935483870967742,175.175791654336
"{Four to Score,Seven Up,Two for the Dough} => {High Five}",0.00208221057273039,0.934065934065934,174.910273213026
"{Hot Six : A Stephanie Plum Novel,Three To Get Deadly : A Stephanie Plum Novel} => {High Five}",0.00235167311743668,0.932038834951456,174.53068495591
"{Four to Score,Hot Six : A Stephanie Plum Novel,One for the Money} => {High Five}",0.00200872078781049,0.931818181818182,174.489366138449
"{Four to Score,One for the Money,Seven Up} => {High Five}",0.00200872078781049,0.931818181818182,174.489366138449
"{One for the Money,Seven Up,Three To Get Deadly : A Stephanie Plum Novel} => {High Five}",0.00200872078781049,0.931818181818182,174.489366138449
"{Four to Score,One for the Money,Three To Get Deadly : A Stephanie Plum Novel,Two for the Dough} => {High Five}",0.00208221057273039,0.923913043478261,173.009074591145
"{Seven Up,Three To Get Deadly : A Stephanie Plum Novel} => {High Five}",0.00242516290235657,0.916666666666667,171.652140672783
"{Four to Score,Seven Up} => {High Five}",0.00247415609230317,0.90990990990991,170.386891478635
